Doctor ID,First Name,Last Name,Gender,Hospital Affiliation,Specialization,Qualifications,State License Number,Contact Information,Availability,Permissions,Department,Biography,Ratings
e3e70682-c209-4cac-a29f-6fbed82c07cd,Gavin,Osborne,Other,Manchester Royal Infirmary,Psychiatry,PhD,35391365,marsharthur@fisher.net,Yes,Read-Write,Cardiology,"Soluta illum magnam alias assumenda ipsa. Excepturi natus aut inventore illum.
Tenetur eaque natus nostrum occaecati. Mollitia numquam accusantium eveniet.",4.439902385
f728b4fa-4248-4e3a-8a5d-2f346baa9455,Jacqueline,Martin,Female,Royal London Hospital,Cardiology,BSc,40174632,ellisjade@jones.net,Yes,Read-Write,Pediatrics,Veniam ratione soluta soluta iste. Quis sapiente iusto doloremque dicta. Dolore voluptate excepturi atque voluptatibus.,2.897771143
eb1167b3-67a9-4378-bc65-c1e582e2e662,Dominic,Rowe,Male,Royal Liverpool University Hospital,Orthopedics,"MD, MRCP",70202901,glenn35@harvey-thompson.net,Yes,Admin,Orthopedics,"Magni vel quis deleniti modi impedit. Dolore eos sit maiores tempora temporibus ad quod. Fugit explicabo odit ducimus.
Odio facilis ea architecto voluptatem odit dolorum error. Vitae magni libero.",4.603639081
f7c1bd87-4da5-4709-9471-3d60c8a70639,Stanley,Dunn,Female,Royal Liverpool University Hospital,General Surgery,"BSc, MRCP, MSc",50337449,hansonmatthew@yahoo.com,Yes,Read-Write,Surgery,"Atque rerum aliquid perferendis nam commodi. Tempora voluptas veniam facilis facere.
Sapiente unde possimus voluptatibus quibusdam. Quam doloremque rerum tenetur.",3.29938774
e443df78-9558-467f-9ba9-1faf7a024204,Jeffrey,Edwards,Other,Manchester Royal Infirmary,Pediatrics,"MRCP, MSc",58579803,staceyhardy@waters.com,Yes,Read-Only,Orthopedics,Aperiam labore aliquam aut. Nemo sequi officiis eos alias distinctio. Ullam provident necessitatibus beatae minus iusto molestias.,2.709457966
23a7711a-8133-4876-b7eb-dcd9e87a1613,Antony,Ward,Other,Royal London Hospital,Neurology,MSc,23312109,smitchell@smith.net,Yes,Read-Write,Neurology,"Esse dolorem vitae voluptate praesentium. Doloribus nobis corrupti architecto omnis. At corporis praesentium.
Pariatur quisquam ad maiores. Nemo illo tempora et.",4.751941397
1846d424-c17c-4279-a3c6-612f48268673,Jean,Austin,Other,Manchester Royal Infirmary,Psychiatry,"MD, MBBS, MSc",81996776,qwilliams@elliott-harrison.co.uk,Yes,Read-Write,Cardiology,Dolor exercitationem similique nihil. Tempora dolorem reprehenderit architecto saepe. In expedita accusamus at enim.,3.728387345
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,Sylvia,Chapman,Other,Royal Liverpool University Hospital,Pediatrics,"FRCS, MSc, MD",9858329,timothywood@yahoo.co.uk,Yes,Read-Write,Psychiatry,"Placeat fugiat similique id laborum magnam debitis.
Impedit magnam inventore. Asperiores quam itaque similique necessitatibus dolorum ipsam. Eveniet ut quis quo.",1.732823223
b4862b21-fb97-4435-8856-1712e8e5216a,Derek,Harris,Female,St Mary's Hospital,Orthopedics,"PhD, MRCP",48469807,vaughancameron@wall-dobson.com,No,Read-Only,Orthopedics,Repellendus excepturi tempore consectetur id quod enim. Libero nemo exercitationem adipisci. Assumenda sapiente sed commodi quisquam.,2.646303398
259f4329-e6f4-490b-9a16-4106cf6a659e,Molly,Miller,Female,King's College Hospital,Pediatrics,"FRCS, MRCP",99364841,kahmed@tyler.com,Yes,Read-Write,Pediatrics,Inventore minima facilis accusantium nostrum. Est ducimus doloremque recusandae ex at.,1.641897243
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,Marie,Shah,Male,King's College Hospital,General Surgery,"MBBS, PhD",59484771,jakegriffiths@phillips.org,No,Read-Only,Cardiology,Sed officiis nemo saepe suscipit repudiandae. Quaerat adipisci nemo facilis recusandae corrupti atque. Possimus reiciendis cum placeat aperiam excepturi quasi.,3.859861528
5487ce1e-af19-422a-99b8-a714e61a441c,Leanne,Roberts,Male,King's College Hospital,General Surgery,"BSc, PhD, FRCS",94516501,harrisjustin@outlook.com,Yes,Admin,Cardiology,Natus voluptates aliquam aut. Itaque labore reprehenderit placeat at cum.,2.174995902
5a921187-19c7-4df4-8f4f-f31e78de5857,Jane,Patterson,Female,Manchester Royal Infirmary,Psychiatry,"PhD, MBBS",59183900,qmoore@gmail.com,No,Read-Only,Neurology,Possimus tenetur excepturi soluta. Voluptatum sit perferendis necessitatibus dolorum ullam. Nesciunt error odio maxime natus. Cumque totam sunt explicabo molestias.,3.560698122
a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,Kate,Lewis,Other,Manchester Royal Infirmary,General Surgery,"BSc, MSc",4718073,bethanyobrien@yahoo.co.uk,Yes,Admin,Neurology,"Ipsam deleniti minus repellat totam at.
Illum alias dolore neque optio nihil quam. Mollitia corrupti voluptas error animi at reiciendis.",2.307010407
8d723104-f773-43c1-b458-a748e9bb17bc,Teresa,Abbott,Other,Royal Liverpool University Hospital,Neurology,"FRCS, MBBS",48443697,fwalton@white.info,No,Read-Only,Surgery,Itaque iusto architecto autem qui amet autem. Neque aliquid voluptas magnam. Rem consectetur nobis occaecati doloremque explicabo repudiandae.,1.373416931
85776e9a-dd84-439e-b154-5a137a1d5006,Julian,Robinson,Male,King's College Hospital,Orthopedics,"MD, MRCP",74509994,gallagherrussell@yahoo.co.uk,Yes,Read-Write,Surgery,"A natus deleniti maxime dicta quo consectetur. Reprehenderit ipsa nihil est modi. Adipisci deserunt culpa a fugit expedita ad architecto. Sed voluptates totam.
Perspiciatis illo aut assumenda.",4.846274927
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,Paul,Hopkins,Male,King's College Hospital,Neurology,"PhD, MD",15126745,dylanlewis@miles.com,Yes,Admin,Pediatrics,"Provident fuga totam consequatur.
Eum repellat quidem est facere nulla suscipit. Magnam rem nostrum dolore repellat minus corporis quod.",4.485285632
17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,Alexander,Lamb,Other,Queen Elizabeth Hospital,Orthopedics,"FRCS, MD",49328774,trobson@gmail.com,Yes,Read-Write,Orthopedics,"Qui fuga laborum placeat. Ea debitis repellendus.
Modi dolor exercitationem dicta placeat dolores sunt. Id deleniti repellat fugit facere.",4.520120702
b5d32b16-6619-4cb1-9710-37d1b83e90ec,Amanda,Ali,Male,St Mary's Hospital,General Surgery,"PhD, MRCP, MSc",71128045,julieshah@hotmail.co.uk,Yes,Read-Write,Surgery,"Nemo in expedita ad suscipit dignissimos. Officiis cupiditate unde fugiat saepe.
Laboriosam dolor fugiat. Ipsum eius nulla voluptas molestias.",2.052992242
a0116be5-ab0c-4681-88f8-e3d0d3290a4c,Rachael,Gill,Female,Manchester Royal Infirmary,Psychiatry,MRCP,55065247,cjarvis@hawkins.net,Yes,Read-Write,Surgery,Dignissimos dolorum autem quas sit repellendus. Autem explicabo inventore nemo vel. Magnam eaque amet omnis magni. Animi porro velit ipsum eveniet aliquid vel.,4.279360946
d3fbf47a-7e5b-4e7f-9ca5-499d004ae545,Ryan,Booth,Female,Queen Elizabeth Hospital,General Surgery,MD,8845495,carole55@yahoo.com,Yes,Admin,Cardiology,"Iste fugiat libero eligendi facilis. Ratione minima facilis voluptatem excepturi earum.
Officiis ipsam illo voluptates. Nam deserunt ullam debitis illo quidem aspernatur.",2.740815591
baf3897a-3e70-416a-9548-5822de1b372a,Leah,Hart,Male,Royal London Hospital,Cardiology,"MSc, BSc",15079259,mitchelllisa@williams.net,Yes,Admin,Neurology,Veniam nulla adipisci aspernatur illo minima tempore aut. Recusandae modi dignissimos animi modi cumque.,3.370367586
101fbccc-ded7-43e8-b421-eaeb534097ca,Eileen,Barnes,Other,Queen Elizabeth Hospital,General Surgery,FRCS,44707235,pharris@hotmail.co.uk,Yes,Read-Only,Pediatrics,Harum esse ullam laboriosam expedita. Error delectus illo enim consequatur.,4.0492834
